mc,dm
民东支路,000985
横沙乡民东村,000984
民东路,000983
徐泾镇徐民东路,291164
惠南镇人民东路,252051
民东支路,000985
奉城镇人民东路,260033
城桥镇木行弄,300025
西渡镇南环路,260813
工业区南环路,272224
城桥镇南门港街,300125
城桥镇普济街,300153
城桥镇北门路,300041
惠南镇北门路,252058
秋涛路,303440
城桥镇沈国子弄,300091
堡镇胜利弄,300313
城桥镇嵊山路,300159
城桥镇施翘路,300129
贡山路,002498
堡镇通裕路,300380
松翠路,303432
城桥镇太平街,300033
城桥镇木行弄,300025
金汇镇木行村,260131
柘林镇新申路,261405
新河镇新申路,300471
城桥镇同心弄,300063
苇香路,303441
管弄路,008360
堡镇银行弄,300319
东唐家弄,000779
新河镇唐家湾路,300455
唐家老弄,023301
唐家弄路,005843
东唐家沙,010059
青村镇唐家村,260925
唐家浜路,005840
唐家弄,290836
东唐家塔,001367
罗店镇唐家弄,005842
唐家塔,005845
唐家湾路,005846
西唐家弄,002036
唐家宅,011389
泖港镇范家村唐家,270747
新永路,008096
横沙乡新永村,008094
城桥镇星火路,300131
滨洪路,303140
堡镇正大街,300281
友谊新村,000479
堡镇友谊新村,300274
马陆镇育英路,020742
堡镇育英路,300305
曹路镇镇北路,011856
白鹤镇镇北路,291121
堡镇堡镇北路,300333
金泽镇镇北路,291130
环镇北路,003576
吉镇北路,023191
周浦镇镇北路,251100
叶榭镇镇北路,270987
奉城镇爱德路,261500
四团镇平谊路,260314
庄行镇安东南路,262800
汇北路,031448
四团镇安逸路,260362
安逸路,261277
四团镇安友路,260266
安中路,261248
庄行镇安中路,260888
延安中路,002111
南桥镇百齐路,262208
南桥镇百顺路,262210
百团路,262920
汇千路,262924
百秀路,269821
保安路,290672
南桥镇育秀东路,262358
庄行镇北环路,262804
陈湾路,261240
南桥镇轿行路,262274
徐泾镇沿江路,290096
西渡沿江路,263063
庄行镇沿江路,262844
南桥秀龙路,262404
惠南镇电大路,250260
南桥镇电大路,261402
南翔镇亚龙别墅,020351
大唐别墅,000572
华星别墅,001715
南翔镇东海别墅,020350
天力别墅,000569
兴隆别墅,002093
钱桥镇长丰路,260108
青村镇长丰路,262512
青村镇钱桥人民路,262522
南桥环城北路,262389
亭林镇亭大公路,280655
亭大公路,260865
青村港路,263088
楚园路,261614
年丰路,261722
奉城镇川协路,261508
奉城镇协新路,261928
金汇镇大昌路,262106
金汇镇南航公路,260805
叶榭镇叶大公路,271104
奉城镇叶大公路,260542
金汇镇叶大公路,261253
南桥镇大寺路,260067
南桥镇前进弄,260758
德顺路,263118
德学路,262951
奉城镇灯民路,261828
奉城城中路,261808
仁爱路,263045
南桥镇东百春路,262222
东海路,010437
四团镇东海路,260253
川东农场东海路,136211
大叶公路,261616
奉浦开发区陈湾村,260529
陈湾路,261240
奉城北街,261806
奉城镇奉粮路,260631
奉城西街,261804
奉城邮电路,261811
奉城富民路,261810
状元路,269809
奉城南街,261802
奉城镇奉高路,261840
川沙镇高桥村,024580
车墩镇高桥村三浜,270059
张堰镇高桥村,280700
奉城镇高桥村,260879
车墩镇高桥村,270737
六团镇高桥村,005488
车墩镇高桥村四溇,270303
车墩镇高桥村俞塘,270709
泥城镇高桥村,250814
南桥镇奉秀路,262226
华新镇新府中路,291683
奉城镇洪朱路,261892
南桥环城东路,262386
南桥镇古华园路,261540
南桥曙光路,262398
南桥镇古华路,260269
古华A区,263010
古华路,261642
南桥镇古华园路,261540
古华B区,263011
古华一村,260271
南桥镇古华新村,260230
古华二村,260273
南桥曙光路,262398
南桥镇振贤路,260951
南桥镇振贤一支路,262370
南桥镇振贤三支路,262374
南桥镇解放中路,261064
南桥城乡路,262382
南桥镇古华园路,261540
奉城镇古月路,261864
文耀路,262899
文茂路,262896
光明镇张弄路,260604
张弄路,263109
文昌路,000450
南桥镇光迎路,262250
金汇镇果多路,261518
海湾旅游区金汇港路,260104
海湾旅游区海工路,261560
海湾旅游区海阔路,261536
