mc,dm
美秀路,030880
陈行镇陈行街,024826
罗泾镇陈行街,002430
浦江镇陈行街,026093
湄浦路,007394
金石路,028156
萧云路,028174
罗太路,003805
罗和路,030762
淞兴路,006946
班溪路,005462
罗店镇东西巷街,000783
同济支路,001926
南长路,004840
陈东路,002422
月盛路,030652
罗智路,030754
罗贤路,030753
竹艺路,027601
月辉路,031267
美康路,030877
依安路,030680
顾戴路,005536
梅陇一村,006771
浦航路,030544
兴梅路,002098
中春路,000682
中春路,009262
春都路,024895
罗阳路,009196
珠城路,024823
东兰路,000748
宝南路,003362
鹤庆路,008676
青杉路,009123
宝城路,024059
南江燕路,024859
吴宝路,002860
新吴宝路,008070
古龙路,000830
荣谊路,027998
浦星公路,005769
锦梅路,007769
华宁路,001704
富国路,030663
颛兴东路,024869
颛盛路,008771
景谷中路,030055
浦泉路,029033
浦晓路,029036
紫龙路,030548
申郑路,030109
银林路,030682
闵城路,024891
水清路,000390
山花路,000681
雅致路,007479
景谷东路,007338
罗锦路,009195
安宁路,001485
沁春路,002709
联明路,007365
联航路,024861
伟业路,024847
华林路,024848
莘凌路,005986
黎明路,009263
浦驰路,024864
谈中路,005837
金阳路,003687
景联路,007337
高兴路,005493
友情路,024854
永德路,001286
曹家塘路,031026
永颂路,030837
红松路,009092
航头镇航中路,252251
航中路,005667
都会路,024855
浦驰南路,029027
金丰路,011016
金丰路,003633
城桥镇青年路,300107
四团镇青年路,260715
邵厂青年路,261730
青年路,003872
普洱路,007433
鲁建路,030727
富岩路,007269
广南路,000075
江航南路,030539
双柏路,000369
西新路,024824
老西街,001851
重固镇通波塘西街,291702
花木北西街,010840
安亭镇方泰西街,021725
外冈镇河西街,021629
河南西街,003524
浦江镇召楼平西街,024840
学西街,004039
颛桥镇河北西街,024781
南西街,004984
七宝镇北西街,024796
航头镇下沙西街,253472
潭西街,270985
庄行西街,262858
安亭镇方泰西街,021714
张江镇新西街,024503
北桥镇西街,024777
通坡塘西街,290773
山阳镇向阳西街,280389
蔡路西街,009003
永高路,030822
浦锦路,024863
北江榉路,030630
富卓路,030668
浦雪路,024881
浦瑞路,024880
开兴路,030057
中沟路,000517
金都路,003632
汇臻路,030051
江桦路,024889
茜昆路,030657
虹泉路,004637
浦江路,005766
白鹤镇浦江路,290843
召楼路,001364
虹秀路,030031
西城一路,030282
鹤坡路,008675
石屏路,001142
恒南路,024882
普杰路,030929
瓶安路,005745
碧秀路,024023
浦雪南路,030480
星中路,005227
海湾镇星中路,262070
惠南镇卫星中路,250102
繁安路,008861
永平南路,030161
华坪路,001705
华友路,001722
白樟路,009121
放鹤路,009200
永跃路,030824
景福路,007333
莘东路,005968
陈行公路,010799
春光路,024786
高桥镇春光路,004486
红松东路,024885
华茂路,001695
纪翟路,001750
老虹井路,030061
尚义路,030545
北沈路,030003
博恒路,030820
秀文路,024887
北松路,009265
北松路,000652
元江路,000485
江桃路,029019
浦秀北路,030643
金杰路,030477
三鲁公路,000113
七莘路,000019
虹莘路,004660
车墩镇莘莘路,272178
申莘路,001090
洞泾镇洞莘路,271073
新桥镇春莘路,272007
幸乐路,004035
鲁南路,007389
永杰路,030823
益文路,006186
莘建支路,005976
莘潭路,006022
鹤坡南路,029009
宝联路,003338
莘南路,005987
群英路,024892
东华美路,024830
敬南路,024835
车墩镇向阳路,271089
向阳路,002085
头桥向阳路,262892
惠南镇向阳路,250465
向阳路,010692
新场镇向阳路,250464
堡镇向阳路,300291
川沙镇曙光路,008873
曙光路,024831
南桥曙光路,262398
南桥镇曙光路,261209
航新路,005671
北江桐路,030632
莘西路,006024
泖港镇五厍建设路,271037
青村镇建设路,260667
周浦镇建设路,250616
建设路,003618
金山卫镇建设路,280516
白鹤镇建设路,290568
华美西路,001697
三达路,024874
横泾东路,008686
新骏环路,030143
申虹路,030099
曹建路,006556
兴虹路,030147
泰虹路,030115
申长路,030095
机场镇新建路,007991
光明镇新建路,261092
张堰镇新建路,280880
新桥镇新建路,270941
庄行镇新建路,261057
周浦镇新建路,251039
金汇镇泰日新建路,262156
西渡镇新建路,261090
新建路,007990
颛桥镇新建路,008777
江镇新建路,024271
金汇镇新建路,261091
惠南镇新建路,251038
青村镇新建路,261058
西华美路,001964
江龙路,024862
莘建路,005972
季乐路,030053
谈家巷,031306
陈南路,024867
申滨南路,030093
颛卫路,008773
华美路,001700
中华美路,024829
东华美路,024830
西华美路,001964
中华美路,024829
磊滨路,008690
闵虹路,030832
叶家桥路,001263
祝桥镇南北大街,252397
南北大街,004832
古羊路,024134
浦瑞南路,030866
鲁宁路,030730
和爱路,030538
鲁陈路,007382
祝桥镇民主路,250324
民主路,001029
马桥镇中街,024775
马桥镇中街,000103
南江桐路,030633
莘北路,005962
马桥镇东新街,024774
马桥镇东新街,024150
东新街,009264
汇秋路,030723
叶家桥东路,030734
广通路,024025
润虹路,030087
苏虹路,030113
绍虹路,030089
山阳镇金航西路,281102
金山卫镇金航西路,281106
航西路,005669
北华路,030001
平乐路,001070
碧泉路,024024
秀涟路,031018
金雨路,003688
业祥路,030659
宁虹路,030075
园文路,031016
大团镇永春东路,250352
陈春东路,030264
春东路,004485
姚虹东路,005238
纪翟南路,001749
诸新路,009267
金杨路,011030
周浦镇瑞安路,253065
康桥镇康达路,253073
周邓公路,254730
栖霞路,005772
广兰路,011933
东绣路,027033
张江镇益江路,027679
昌里路,003414
博山路,007220
桃林路,011399
藿香路,028932
曹路镇东靖路,031475
高行镇东靖路,010438
齐河路,001877
周浦镇年家浜东路,254444
环桥路,030504
晨晖路,011921
华绣路,027916
海阳西路,030897
花木镇锦安东路,024310
东环龙路,024328
城桥镇东建路,300051
花木镇东建路,005475
牟平路,011963
孙桥镇中科路,028590
张江镇中科路,028701
浦电南路,005754
浦电路,005752
张东路,027299
顾唐路,027599
曹路镇民耀路,024226
张江镇益丰路,011413
张江鎮益丰路,024166
周浦镇瑞浦路,253069
惠南镇盐大路,253572
红枫路,011961
孙桥镇百业路,028520
孙桥镇荣科路,028562
孙桥镇川和路,028528
和融路,030503
三彩路,030515
东育路,030550
周浦镇周东路,250705
海松路,030488
顾路镇海松路,028336
云台路,000511
云莲路,010359
孙桥镇顺和路,028566
张江镇顺和路,028703
五星路,011916
周浦镇瑞意路,253061
俱进路,027543
银霄路,027032
惠南镇梅花路,252061
花木镇梅花路,005479
大道站路,027685
宁阳路,001047
华安路,001670
机场镇晚霞路,011489
张杨北路,027333
川沙路,027003
新川沙路,007946
川沙镇川沙路,024121
双桥路,010327
顾路镇海鸣路,028326
黄杨路,011983
和炯路,030502
龙居路,000934
张江镇孙农路,027316
新场镇新环西路,253091
海春路,005583
东三里桥路,000772
周浦镇瑞阳路,253071
唐港路,254800
丽正路,254779
花木镇白杨路,024311
兰花路,027433
曹路镇民同路,010780
民同路,010518
周浦镇沈梅东路,253063
周浦镇周园路,254492
顾路镇海顺路,028334
海顺路,030535
崂山西路,005694
川沙镇妙栏路,010849
高行镇庭安路,028302
新浦路,011751
朱泾镇新浦路,280679
新场镇汇友路,253039
汇友路,253038
新场镇汇豪路,253045
汇豪路,253044
众安路,253030
新场镇众安路,253031
新场镇新环东路,253089
新场镇汇盟路,253035
汇盟路,253034
仁义路,253028
新场镇仁义路,253029
金台路,019905
康桥镇康士路,251180
兰陵路,000860
明月路,011975
春泉路,011113
华丰路,001683
惠园路,254646
惠南镇迎薰路,252054
雪野路,006994
锦康路,027912
高行镇东高路,010426
周浦镇周康路,250987
华鹏路,028928
北蔡镇鹏岳路,028204
北蔡镇鹏飞路,028202
莲中路,011914
周浦镇周星路,254490
思浦路,005174
川沙镇川环西路,010142
环林西路,024076
顾路镇金睦路,028340
龚路镇银峰路,028993
银峰路,030491
滨海镇玉兰路,252671
玉兰路,010496
霞光路,030473
盛夏路,027300
永宁路,010492
南曹路,028949
东环龙路,024328
环龙路,024327
枫泾镇沈家弄,280450
沈家弄,023283
沈家弄路,002760
高东镇沈家弄村,010860
顾路镇金钻路,028346
玉泉街,001352
拱乐路,253138
银樽路,030369
惠南镇观海路,252056
芦潮港镇观海路,252172
龚华路,011467
曹路镇龚华路,027013
行德路,027545
新行路,027549
鹤韵路,030469
申江南路,030276
南张家浜路,005016
周浦镇张家浜路,254480
张家浜路,003044
北张家浜路,024022
尚博路,027603
高桥镇季景北路,024238
高桥镇小园浜路,028254
银融路,030990
佳虹路,011971
佳林路,011007
南洋泾路,005012
张江镇勤政路,027323
金海路,011017
宣桥镇亦园路,252303
和龙路,027039
新陈路,011722
唐镇云雅路,027643
唐镇锦绣东路,027425
锦绣东路,027297
花木镇锦绣东路,027424
寿光路,002780
唐兴路,011397
高桥镇清溪路,011480
惠南镇靖海路,252063
池月路,254747
唐镇新雅东路,027651
莲安东路,011911
川沙镇华夏一路,010715
北蔡镇川北公路,024264
合庆镇川北公路,024568
张江镇川北公路,010136
花木镇川北公路,024305
孙桥镇川北公路,024169
川沙镇川北公路,024581
盛苑路,027022
祝桥镇千汇路,252406
民雪路,010517
川沙镇石皮路,010482
孙桥镇环科路,028546
孙桥镇海趣路,028538
周浦镇年家浜路,250414
芦潮港镇潮乐路,253051
潮乐路,253050
芦茂路,253048
芦潮港镇芦茂路,253049
佳京路,027002
高行镇行南路,010626
运通路,027428
金桥开发区运通路,027426
金豫路,024035
机场镇晨阳路,011459
申波路,012006
川沙新镇翔川路,027418
南团公路,254673
惠南镇丰海路,253510
唐镇宏雅路,027661
民雨路,010516
祝桥镇凉亭路,252407
祝桥镇祝城路,252403
祝桥镇广益路,252405
北新园路,030004
宣桥镇宣镇东路,252285
万祥镇祥安路,253201
周浦镇繁荣路,252014
德爱路,030884
宣中路,030578
宣桥镇宣中路,254336
张江镇孙桥路,011865
云汉路,254831
海桐路,012012
银城中路,027139
沂南路,003002
高攀路,005495
金桥镇金葵路,028442
川沙镇川六公路,010146
归昌路,011954
万德路,000166
江镇镇江环路,028406
江环路,031186
川沙镇栏学路,011154
康涵路,031172
盛荣路,030855
唐镇虹盛路,011133
首善街,254799
历城路,000340
老港镇建中路,252625
向化镇向建中路,302123
福建中路,007740
张江镇建中路,011010
南桥镇新建中路,261094
航头镇航头路,253444
高行镇白萱路,028280
佳乐路,011972
前哨路,011181
东煦路,028910
高科中路,027337
胡桥环镇东路,261690
航头镇环镇东路,253452
大团镇永宁东路,250366
张江镇高木桥路,027310
南芦公路,254842
泥城镇南芦公路,252540
大团镇南芦公路,252145
顺凌路,027508
展凌路,030267
高城路,028915
古棕路,253137
马樱丹路,254784
周浦镇繁荣东路,253199
川沙镇西泥路,010680
川沙镇北城壕路,010410
东三街,000771
瑞福路,030706
惠南镇通济路,252062
康桥镇康杉路,251178
康杉路,011299
高桥镇凌高路,027693
合庆镇庆利路,027421
大团镇永达路,253330
机场镇东亭路,010447
东亭路,010449
三舒路,030516
周浦镇祝家港路,254494
青鸟路,254793
高科东路,027335
林悦路,030811
洋泾镇路,005232
定水路,003424
北洋泾路,000667
机场镇航城七路,027792
航城七路,027069
钱仓路,005774
芦潮港镇杭湾路,254006
东昌路,000718
拱泰路,030700
光泽路,027345
航城四路,027067
机场镇航城四路,027788
荣成路,005136
唐镇上丰路,027645
芦潮港镇渔港路,252170
张江镇张江路,011931
孙桥镇张江路,024170
航头镇航鹤路,253428
民风路,010514
高桥镇石家街,010480
机场镇航城五路,024186
航城五路,024120
芦潮港镇芦云路,253047
芦云路,253046
江桥镇宝园二路,020678
园二路,027306
江桥镇金园二路,020670
唐镇卡园二路,027639
向城路,002080
惠南镇城基路,252064
高东二路,027037
川沙镇青艺路,011055
新场镇笋心路,252103
育海路,031202
下塘南路,031391
塘南路,007870
于塘南路,031112
凌环路,027271
高桥镇凌环路,027280
川沙镇民贤路,024589
高东镇园洲路,027780
南桥镇环城西路,261098
泥城镇新城西路,252546
川沙镇城西路,011114
南桥环城西路,262388
惠南镇城西路,250716
回城西路,028855
环城西路,270567
青浦镇环城西路,290554
银城西路,024433
港辉路,254760
三三公路,254684
高桥镇通园路,011402
紫竹路,027343
塘桥路,007878
惠南镇南园路,252068
柳杉路,027607
花四路,027078
唐镇美雅路,027411
老西街,001851
周浦镇西大街,250444
康桥镇庙场街,252237
柘林镇新寺社区新街二村,261105
集市贸易街,007320
安亭镇安亭街,020420
漕泾镇工农南街,280054
东礁街,284100
重固镇通波塘西街,291702
一粟街,000003
旧仓街,000847
慈云街,007730
张堰镇安东街,280298
祝桥镇创新街,254500
练塘镇前进街,290728
罗店镇蒋巷街,007330
纪王镇巷前街,024816
宣桥镇宣桥大街,252284
奉城镇东老街路,260257
平安镇龙平街,260295
新跃路,024080
康悦路,006691
茸北镇创业路,270374
创业路,010617
康桥镇创业路,252232
金港路,024034
鹤驰路,030484
唐镇新雅路,011758
大团镇永春中路,250360
高桥镇欧高路,011042
惠南镇农场路,250416
康桥镇周园北路,253756
普庆路,011623
六团镇普庆路,028493
即墨路,002583
惠南镇人民西路,250022
人民西路,031396
奉城镇人民西路,260045
祖冲之路,011922
惠南镇卫星东路,250098
连波路,012010
江绣路,031100
江镇镇江绣路,028410
周浦镇周东南路,254486
瑞建路,030707
高桥镇小浜路,010210
龚路镇上川路,000140
曹路镇上川路,024224
川沙镇上川路,024576
高行镇东沟路,010428
机场镇施宏路,011190
青平路,011047
后长街,001662
西三里桥路,010683
川沙镇乔家浜路,010656
南三角街,004942
三角街,010005
白鹤镇三角街,290058
惠南镇东门三角街,250276
惠南镇三角街,253538
北三角街,010041
东沟镇东义路,024214
高桥镇东义路,010454
江山路,254770
城桥镇一江山路,300001
川沙镇南桥路,011168
夏栎路,254814
周阳路,030721
东川公路,031011
合庆镇东川公路,010420
张江镇横沔江路,011844
江泉北路,030916
大团镇永春北路,250350
银柳路,028976
加太路,027113
港洪路,011617
云端路,030842
环庆南路,010899
德川路,028907
川沙镇青厦路,011053
祝桥镇华星路,252394
华星路,001718
新场镇军民路,250410
漕泾镇军民路,282601
堡镇军民路,300289
周浦镇军民路,250411
南桥镇军民路,260419
张江镇军民路,001828
凌空路,011359
大团镇洪田路,252505
川沙镇益民路,011418
周浦镇益民路,252214
廊下镇益民路,280738
惠南镇西乐路,252055
庆荣路,010657
长青路,024021
祝桥镇东祝公路,254502
惠南镇城东路,250710
环城东路,290552
南桥镇环城东路,260620
南桥环城东路,262386
银城东路,024434
泥城镇新城东路,252547
塔城东路,020143
叶城东路,031309
徐行果园路,031122
果园路,260649
芦潮港镇果园路,252174
杨思镇上浜路,028690
高桥镇大同路,010166
川沙镇学北路,024590
云鹃路,253155
老芦公路,254652
六灶镇吉灿路,253906
杨莲路,030368
惠南镇拱极东路,250724
川沙镇川银路,027669
高行镇启帆路,028296
听健路,030710
惠南镇向阳东路,252701
山阳镇向阳东路,280395
绿晓路,031138
申港大道,253099
秋雨路,254796
惠南镇沿河泾南路,250676
惠南镇东门大街,250274
大川公路,254617
民民路,010519
宣桥镇闵家浜路,254312
高荷路,027918
园一路,027305
江桥镇金园一路,020669
江桥镇宝园一路,020677
唐镇卡园一路,027637
日京路,027117
惠南镇文体路,250208
新灵路,027103
周浦镇沈梅路,254456
惠南镇三八路,250068
三八路,031455
思学路,030885
航头镇航达路,253418
川沙镇乔港路,010654
柘林镇市场路,260326
龙华机场路,030458
白鹤镇市场路,290268
菜场路,290897
青村镇剧场路,260897
南桥镇剧场路,261411
新菜场路,007940
庙镇剧场路,300712
林场路,003741
新河镇菜场路,300456
刘场路,001854
大场路,031236
南桥镇菜场路,260965
市棉场路,031339
团场路,031353
煤场路,007805
惠南镇农场路,250416
体育场路,002804
洛场路,009103
南桥体育场路,262400
合庆镇环庆中路,027667
芦潮港镇芦潮路,253018
陆家嘴环路,027341
航头镇富航路,253410
大团镇永春南路,250354
惠南镇卫星西路,250100
歇浦路,007924
金新路,024031
惠南镇南门大街,250750
世纪大道,010499
万祥镇万和路,253202
大团镇墩荣路,252500
兰村路,000856
六灶镇崇溪路,253904
拱优路,030703
祝桥镇金亭路,252401
祝桥镇周祝公路,252390
周浦镇周祝公路,252211
六灶镇周祝公路,250321
周祝公路,011075
鹤洁路,030743
环湖西三路,253131
泰环路,028970
泖港镇中大街,270502
周浦镇中大街,250218
娄塘镇中大街,020523
枫泾镇中大街,280178
娄塘中大街,023246
康桥镇中大街,252235
娄塘镇东中大街,020529
航绣路,030741
新场镇牌楼西路,253002
三旋路,030517
听达路,031089
惠南镇工农南路,250054
顾路镇海容路,028332
机场镇江明路,010639
新浜镇共青路,270348
徐行镇共青路,021010
祝桥镇共青路,252398
共青路,001575
汇技路,254644
枫泾镇芙蓉路,280427
川沙镇芙蓉路,010816
南祝路,030271
航头镇航瑞路,253438
周浦镇文康路,253008
赵高路,030492
杨园镇赵高路,011214
泥城镇香兴路,252543
祝桥镇航亭环路,253057
周浦镇东八灶,250293
周浦镇东八灶路,254406
新场镇奉新路,250594
东大公路,254620
鸿音路,254766
加枫路,027080
新场镇杨辉路,253033
杨辉路,253032
林德路,030705
惠南镇解放路,250992
南桥镇解放路,261061
西渡镇解放路,261062
解放路,007766
大团镇永晖路,252140
康乃馨路,254776
航头镇鹤立西路,252195
奥纳路,027118
水洞港路,002712
金京路,024041
新场镇汇海路,253037
汇海路,253036
康桥镇叠桥路,253702
康桥镇秀浦路,252016
城桥镇东门路,300043
东门路,000758
惠南镇东门路,252059
机场镇水闸北路,010328
施湾镇水闸北路,024184
高行镇老杨高路,010651
周浦镇关岳西路,254414
惠南镇听潮路,250548
惠南镇北门大街,250248
周浦镇建豪路,254426
大团镇永定南路,250364
基隆路,027121
康桥镇秀康路,252017
宣桥镇宣城路,254324
台中南路,027132
唐镇农科路,010653
金藏路,024030
金沪路,011015
金沪路,024032
六里桥南街,010322
黄楼镇川黄路,010144
川沙镇川黄路,024583
四方路,001189
高行镇浦东北路,011374
浦东北路,011422
高桥镇浦东北路,024612
三新路,010195
芦硕路,254783
永建路,027695
康桥镇梓潼路,251188
大团镇永春东路,250352
六灶镇鹿达路,253924
六里二村,010315
环湖西二路,253123
赵高公路,030812
富特北路,027091
康桥镇秀沈路,253734
大团镇南三支路,252141
朱家桥镇汇华路,021420
惠南镇汇华路,252710
溪平路,011721
祝桥镇卫亭路,253059
老港镇港怡路,253808
周浦镇广丹路,254412
荣川路,028961
翠柏路,028906
高桥镇慈善街,011704
川沙镇西河浜路,010674
张江镇三灶路,010192
南镜湖路,254788
大团镇永晨路,253328
大团镇永旺路,253336
大团镇永爱路,253326
金皖路,024036
川沙新镇乐丰路,027427
忘忧路,031203
马吉路,027120
陆家嘴东路,027340
老港镇鑫盛路,252627
张江镇古桐南路,027001
练塘镇东塘路,290555
高行镇东塘路,024601
高桥镇东塘路,010450
方竹路,254756
康桥镇康花路,251182
江耀路,031163
希雅路,027104
新场镇汇腾路,253041
汇腾路,253040
大团镇永春西一路,250356
高桥镇义王路,010228
新场镇坦直路,252343
祥跃路,254821
伽利略路,011947
长柳路,027079
川沙镇迎春街,027017
迎春街,011040
张衡路,011940
川沙镇东城壕路,010422
华京路,027106
惠南镇卫星中路,250102
山阳镇向阳西路,280399
惠南镇海燕路,252074
航头镇乐城路,253454
芦潮港镇芦潮港路,252171
江镇镇物流大道,028420
唐丰路,011391
川沙镇王桥街,010344
吕惠东路,284130
惠南镇惠东路,252065
绣川路,028972
惠南镇文师街,253560
惠南镇文友街,253564
振兴东路,006258
唐镇虹盛东路,027217
沂林路,027034
王桥路,010345
金泽镇金东路,290575
金东路,011013
张江镇碧波路,011920
康桥镇御云路,253752
川沙镇川图路,027026
航春路,030740
航头镇兴城路,253474
惠南镇英雄路,253574
新场镇新场大街,251024
听谐路,030715
严木桥路,030989
高博路,030886
陈春路,010800
锦尊路,027914
汇舒路,030724
西园路,024827
城桥镇西园路,300075
古方路,028012
南江洲路,031424
甬虹路,030163
通海路,005920
张江镇新西街,024503
曹路镇新西街,008072
张江鎮新西街,024162
吕巷镇新西街,280914
新西街,024762
颛建路,008770
盘阳路,031242
北吴路,000659
永平路,028004
漕泾镇工农南街,280054
外冈镇南街,021530
河南街,003523
嘉定镇遙南街,020120
月浦镇塘南街,007868
诸翟南街,006268
嘉定工业区疁南街,020944
青村南街,262554
杜行镇南街,024769
四团镇四新南街,262625
西渡镇肖塘南街,260592
曹路镇曹路南街,011458
环镇南街,030971
汝南街,001904
张江镇南街,004826
宣桥镇三灶南街,252307
奉城南街,261802
江桥镇江桥浜南街,021923
江镇南街,024179
华新镇河南街,290664
纪高路,001754
银秋路,030683
鹤翔路,008677
联丰路,007350
爱晖路,005460
石太路,001158
联牧路,007366
富联二路,030328
龙启路,030461
长华路,024087
祁顺路,030785
沙岗路,002741
国庠路,003500
汾州路,002490
政学路,030758
贵阳路,004590
鞍山支路,008652
金轮路,027944
金珠路,003683
天马山镇平原路,271171
平原路,001088
石湖荡镇唐明路,270357
九亭镇蒲汇路,270953
鼎源路,272911
邱家湾,270496
小塔前,270078
张堰镇松金公路,280553
松金公路,003932
松金公路,281801
车墩镇影视路,272181
富永路,272925
九亭镇龙金路,272140
西陶行弄,270393
陶行弄,270753
东陶行弄,270238
泗泾镇开江中路,270165
玉阳路,272934
钱桥镇文化路,260176
朱泾镇文化路,280164
南桥镇文化路,261417
青村镇文化路,260172
泗泾镇文化路,270183
惠南镇文化路,250206
柘林镇文化路,260173
南桥镇西渡文化路,262314
练塘镇文化路,290158
塘浚路,273290
华莹山路,273413
道悦路,273432
登云路,273434
苗盛路,273479
西陶行弄,270393
华亭镇沪华中路,021220
江桥镇翔江公路,020650
翔江公路,023331
胜辛北路,023067
联西路,028820
博乐南路,022201
塔秀路,030362
树屏东路,031083
娄塘镇娄塘路,020533
周浦镇西大街,250444
菊园新区西大街,022303
新河镇西大街,300439
娄塘镇西大街,020522
嘉定镇西大街,020203
西大街,001970
徐行镇澄浏公路251弄,021015
澄浏公路,023036
徐行镇澄浏公路,021014
翔方公路,023330
安亭镇翔方公路,021731
安拓路,023074
黄陂北路,006666
武胜路,004010
凝和路,008820
颛桥镇张家弄,024780
北张家弄,000671
张家弄,003048
南张家弄,005018
宁安路,001032
中山东一路,000531
恒通路,004618
运城路,024280
秣陵路,005746
